USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0   19624   3608 0                   0 S init
root             2     0       0      0 0                   0 S [kthreadd]
root             3     2       0      0 0                   0 S [ksoftirqd/0]
root             5     2       0      0 0                   0 S [kworker/0:0H]
root             6     2       0      0 0                   0 S [kworker/u12:0]
root             7     2       0      0 0                   0 S [rcu_preempt]
root             8     2       0      0 0                   0 S [rcu_sched]
root             9     2       0      0 0                   0 S [rcu_bh]
root            10     2       0      0 0                   0 S [migration/0]
root            11     2       0      0 0                   0 S [watchdog/0]
root            12     2       0      0 0                   0 S [watchdog/1]
root            13     2       0      0 0                   0 S [migration/1]
root            14     2       0      0 0                   0 S [ksoftirqd/1]
root            16     2       0      0 0                   0 S [kworker/1:0H]
root            17     2       0      0 0                   0 S [watchdog/2]
root            18     2       0      0 0                   0 S [migration/2]
root            19     2       0      0 0                   0 S [ksoftirqd/2]
root            21     2       0      0 0                   0 S [kworker/2:0H]
root            22     2       0      0 0                   0 S [watchdog/3]
root            23     2       0      0 0                   0 S [migration/3]
root            24     2       0      0 0                   0 S [ksoftirqd/3]
root            25     2       0      0 0                   0 S [kworker/3:0]
root            26     2       0      0 0                   0 S [kworker/3:0H]
root            27     2       0      0 0                   0 S [watchdog/4]
root            28     2       0      0 0                   0 S [migration/4]
root            29     2       0      0 0                   0 S [ksoftirqd/4]
root            31     2       0      0 0                   0 S [kworker/4:0H]
root            32     2       0      0 0                   0 S [watchdog/5]
root            33     2       0      0 0                   0 S [migration/5]
root            34     2       0      0 0                   0 S [ksoftirqd/5]
root            36     2       0      0 0                   0 S [kworker/5:0H]
root            37     2       0      0 0                   0 S [kdevtmpfs]
root            38     2       0      0 0                   0 S [netns]
root            39     2       0      0 0                   0 S [perf]
root            40     2       0      0 0                   0 S [kconsole]
root            41     2       0      0 0                   0 S [khungtaskd]
root            42     2       0      0 0                   0 S [writeback]
root            43     2       0      0 0                   0 S [ksmd]
root            44     2       0      0 0                   0 S [crypto]
root            45     2       0      0 0                   0 S [bioset]
root            46     2       0      0 0                   0 S [kblockd]
root            48     2       0      0 0                   0 S [devfreq_wq]
root            49     2       0      0 0                   0 S [irq/170-hr_hear]
root            50     2       0      0 0                   0 S [irq/168-wl_hear]
root            51     2       0      0 0                   0 S [irq/169-wl_hear]
root            52     2       0      0 0                   0 S [irq/172-safe_lo]
root            53     2       0      0 0                   0 S [cfg80211]
root            54     2       0      0 0                   0 S [cfinteractive]
root            55     2       0      0 0                   0 S [kworker/u12:1]
root            72     2       0      0 0                   0 S [kswapd0]
root            73     2       0      0 0                   0 S [vmstat]
root            74     2       0      0 0                   0 S [fsnotify_mark]
root            75     2       0      0 0                   0 S [kworker/u13:0]
root            76     2       0      0 0                   0 S [cifsiod]
root           110     2       0      0 0                   0 S [irq/230-rockchi]
root           111     2       0      0 0                   0 S [irq/231-rockchi]
root           112     2       0      0 0                   0 S [irq/232-rockchi]
root           113     2       0      0 0                   0 S [irq/233-rockchi]
root           114     2       0      0 0                   0 S [irq/234-rockchi]
root           115     2       0      0 0                   0 S [irq/235-rockchi]
root           116     2       0      0 0                   0 S [irq/49-ff670000]
root           117     2       0      0 0                   0 S [kworker/4:1]
root           118     2       0      0 0                   0 S [vcodec]
root           119     2       0      0 0                   0 S [irq/45-ff650000]
root           120     2       0      0 0                   0 S [irq/44-ff650000]
root           121     2       0      0 0                   0 S [vcodec]
root           122     2       0      0 0                   0 S [irq/47-ff660000]
root           123     2       0      0 0                   0 S [bioset]
root           124     2       0      0 0                   0 S [bioset]
root           125     2       0      0 0                   0 S [bioset]
root           126     2       0      0 0                   0 S [bioset]
root           127     2       0      0 0                   0 S [bioset]
root           128     2       0      0 0                   0 S [bioset]
root           129     2       0      0 0                   0 S [bioset]
root           130     2       0      0 0                   0 S [bioset]
root           131     2       0      0 0                   0 S [bioset]
root           132     2       0      0 0                   0 S [bioset]
root           133     2       0      0 0                   0 S [bioset]
root           134     2       0      0 0                   0 S [bioset]
root           135     2       0      0 0                   0 S [bioset]
root           136     2       0      0 0                   0 S [bioset]
root           137     2       0      0 0                   0 S [bioset]
root           138     2       0      0 0                   0 S [bioset]
root           139     2       0      0 0                   0 S [bioset]
root           140     2       0      0 0                   0 S [bioset]
root           141     2       0      0 0                   0 S [bioset]
root           142     2       0      0 0                   0 S [bioset]
root           143     2       0      0 0                   0 S [bioset]
root           144     2       0      0 0                   0 S [bioset]
root           145     2       0      0 0                   0 S [bioset]
root           146     2       0      0 0                   0 S [bioset]
root           147     2       0      0 0                   0 S [bioset]
root           148     2       0      0 0                   0 S [memory_wq]
root           149     2       0      0 0                   0 S [nvme]
root           150     2       0      0 0                   0 S [kworker/0:1]
root           151     2       0      0 0                   0 S [kworker/2:1]
root           152     2       0      0 0                   0 S [uether]
root           153     2       0      0 0                   0 S [goodix_wq]
root           154     2       0      0 0                   0 S [irq/121-rk808]
root           156     2       0      0 0                   0 S [irq/40-rockchip]
root           157     2       0      0 0                   0 S [dm_bufio_cache]
root           158     2       0      0 0                   0 S [kworker/1:1]
root           159     2       0      0 0                   0 S [kworker/4:2]
root           160     2       0      0 0                   0 S [irq/26-mmc1]
root           161     2       0      0 0                   0 S [kworker/2:2]
root           162     2       0      0 0                   0 S [binder]
root           165     2       0      0 0                   0 S [bioset]
root           166     2       0      0 0                   0 S [mmcqd/1]
root           167     2       0      0 0                   0 S [bioset]
root           168     2       0      0 0                   0 S [mmcqd/1boot0]
root           169     2       0      0 0                   0 S [bioset]
root           170     2       0      0 0                   0 S [mmcqd/1boot1]
root           171     2       0      0 0                   0 S [bioset]
root           172     2       0      0 0                   0 S [mmcqd/1rpmb]
root           173     2       0      0 0                   0 S [ipv6_addrconf]
root           174     2       0      0 0                   0 S [krfcommd]
root           185     2       0      0 0                   0 S [irq/50-rga]
root           186     2       0      0 0                   0 S [deferwq]
root           188     2       0      0 0                   0 S [kworker/1:2]
root           189     2       0      0 0                   0 S [irq/62-analogix]
root           190     2       0      0 0                   0 S [hpd_queue]
root           191     2       0      0 0                   0 S [irq/61-ff940000]
root           192     2       0      0 0                   0 S [cec-dw_hdmi]
root           193     2       0      0 0                   0 S [irq/61-dw-hdmi-]
root           194     2       0      0 0                   0 S [irq/171-fan_rpm]
root           196     2       0      0 0                   0 S [kdmflush]
root           197     2       0      0 0                   0 S [bioset]
root           198     2       0      0 0                   0 S [kverityd]
root           199     2       0      0 0                   0 S [bioset]
root           200     2       0      0 0                   0 S [bioset]
root           201     2       0      0 0                   0 S [bioset]
root           202     2       0      0 0                   0 S [kworker/4:1H]
root           203     2       0      0 0                   0 S [ext4-rsv-conver]
root           206     2       0      0 0                   0 S [scsi_eh_0]
root           207     2       0      0 0                   0 S [scsi_tmf_0]
